T_idx,PFS_EA,PFS_COCBA,PFS_Alg1,PFS_Alg2,PFS_Alg3,PFS_Alg4,PFS_Alg5
0.7,0.1047,0.1047,0.1047,0.1047,0.1047,0.1047,0.0792
0.9,0.0897,0.0598,0.1042,0.0607,0.0571,0.052,0.0179
1.1,0.0696,0.0441,0.0965,0.0473,0.0403,0.0392,0.0045
1.3,0.061,0.0369,0.0895,0.0389,0.0353,0.0301,0.0019
1.5,0.055,0.0332,0.0776,0.0343,0.0293,0.0242,0.0009
1.7,0.0462,0.0301,0.0665,0.0269,0.0242,0.0211,0.0003
1.9,0.0443,0.0277,0.0571,0.0233,0.0214,0.0184,0.0003
2.1,0.0372,0.0256,0.0505,0.0205,0.0184,0.0147,0.0003
2.3,0.0357,0.0227,0.0421,0.018,0.0161,0.0143,0.0001
2.5,0.033,0.0209,0.0423,0.0158,0.0147,0.0125,0.0001
2.7,0.0312,0.0206,0.0365,0.0131,0.0133,0.0111,0.0001
2.9,0.0293,0.0189,0.0335,0.0124,0.0127,0.01,-0
3.1,0.0273,0.0181,0.032,0.0108,0.0115,0.0091,-0
3.3,0.0271,0.0166,0.0291,0.0089,0.0109,0.0088,-0
3.5,0.0256,0.0158,0.0261,0.0078,0.0097,0.008,-0
3.7,0.022,0.0149,0.0223,0.0075,0.0091,0.0074,-0
3.9,0.0204,0.0149,0.0217,0.0066,0.0085,0.0068,-0
4.1,0.019,0.014,0.0207,0.0062,0.008,0.0064,-0
4.3,0.0187,0.0137,0.0189,0.0053,0.0083,0.0058,-0
4.5,0.0171,0.013,0.0177,0.0052,0.0073,0.0057,-0
4.7,0.0168,0.0128,0.0158,0.0051,0.0072,0.0053,-0
4.9,0.0167,0.0123,0.0137,0.0049,0.0067,0.0051,-0
